p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
false,false,false,false,false,true,true,true,true,true,true,true,true,v2
true,true,true,true,false,true,true,true,true,true,true,true,true,v1
false,false,false,true,true,false,true,true,true,true,true,true,true,v2
true,true,true,false,true,false,true,true,true,true,true,true,true,v1
false,false,true,false,true,true,false,true,true,true,true,true,true,v1
true,true,false,true,true,true,false,true,true,true,true,true,true,v2
false,true,false,false,true,true,true,false,true,true,true,true,true,v2
true,false,true,true,true,true,true,false,true,true,true,true,true,v1
false,false,false,false,true,true,true,true,false,true,true,true,true,v2
true,true,true,true,true,true,true,true,false,true,true,true,true,v1
false,false,false,true,true,true,true,true,true,false,true,true,true,v2
true,true,true,false,true,true,true,true,true,false,true,true,true,v1
false,false,true,false,true,true,true,true,true,true,false,true,true,v1
true,true,false,true,true,true,true,true,true,true,false,true,true,v2
false,true,false,false,true,true,true,true,true,true,true,false,true,v2
true,false,true,true,true,true,true,true,true,true,true,false,true,v1
false,false,false,false,true,true,true,true,true,true,true,true,false,v2
true,true,true,true,true,true,true,true,true,true,true,true,false,v1
